Data NuEer,bidder,house,date,lot,profit,Net  Payment,rank,realisation in final auAtion,bid,EstDated MinDum,EstDated MaxDum,Aatalog PriAe,Aatalog Du10y,EstDate Min,EstDate Max,Grade Min ,Grade Max,No Grade,ExAlusively US,No Value
1466,6,C,35508,396,362.5,362.5,2,850,2000,1000,1500,0,0,1000,1500,2,2,0,0,0
1467,2,C,35508,396,112.5,112.5,3,850,1500,1000,1500,0,0,1000,1500,2,2,0,0,0
1468,1,C,35508,396,100,100,4,850,1450,1000,1500,0,0,1000,1500,2,2,0,0,0
1469,3,C,35508,397,0,0,1,160,160,0,0,798.4,1,798.4,798.4,2,2,0,0,0
1470,7,C,35508,398,1050,-1050,1,1700,8400,0,0,2000,1,2000,2000,2,2,0,0,0
1471,6,C,35508,398,438.3333333,438.3333333,2,1700,3800,0,0,2000,1,2000,2000,2,2,0,0,0
1472,3,C,35508,398,238.3333333,238.3333333,3,1700,3400,0,0,2000,1,2000,2000,2,2,0,0,0
1473,5,C,35508,398,138.3333333,138.3333333,4,1700,3000,0,0,2000,1,2000,2000,2,2,0,0,0
1474,2,C,35508,398,130,130,5,1700,2950,0,0,2000,1,2000,2000,2,2,0,0,0
1475,1,C,35508,398,105,105,6,1700,2750,0,0,2000,1,2000,2000,2,2,0,0,0
1476,8,C,35508,398,0,0,7,1700,1200,0,0,2000,1,2000,2000,2,2,0,0,0
1477,4,C,35508,399,4625,-4625,1,6250,15500,8000,10000,0,0,8000,10000,3,2,0,0,0
1478,2,C,35508,399,1816.071429,1816.071429,2,6250,15500,8000,10000,0,0,8000,10000,3,2,0,0,0
1479,7,C,35508,399,816.0714286,816.0714286,3,6250,13500,8000,10000,0,0,8000,10000,3,2,0,0,0
1480,6,C,35508,399,566.0714286,566.0714286,4,6250,12500,8000,10000,0,0,8000,10000,3,2,0,0,0
1481,8,C,35508,399,482.7380952,482.7380952,5,6250,12000,8000,10000,0,0,8000,10000,3,2,0,0,0
1482,1,C,35508,399,420.2380952,420.2380952,6,6250,11500,8000,10000,0,0,8000,10000,3,2,0,0,0
1483,3,C,35508,399,270.2380952,270.2380952,7,6250,10000,8000,10000,0,0,8000,10000,3,2,0,0,0
1484,5,C,35508,399,253.5714286,253.5714286,8,6250,9800,8000,10000,0,0,8000,10000,3,2,0,0,0
1485,4,C,35508,400,275,-275,1,1050,1650,0,0,1000,1,1000,1000,3,2,0,0,0
1486,3,C,35508,400,151.6666667,151.6666667,2,1050,1600,0,0,1000,1,1000,1000,3,2,0,0,0
1487,8,C,35508,400,51.66666667,51.66666667,3,1050,1400,0,0,1000,1,1000,1000,3,2,0,0,0
1488,7,C,35508,400,26.66666667,26.66666667,4,1050,1300,0,0,1000,1,1000,1000,3,2,0,0,0
1489,1,C,35508,400,26.66666667,26.66666667,5,1050,1300,0,0,1000,1,1000,1000,3,2,0,0,0
1490,6,C,35508,400,14.16666667,14.16666667,6,1050,1200,0,0,1000,1,1000,1000,3,2,0,0,0
1491,5,C,35508,400,4.166666667,4.166666667,7,1050,1100,0,0,1000,1,1000,1000,3,2,0,0,0
1492,3,C,35508,401,60,-60,1,280,450,350,400,0,0,350,400,2,2,0,0,0
1493,5,C,35508,401,42.5,42.5,2,280,400,350,400,0,0,350,400,2,2,0,0,0
1494,8,C,35508,401,17.5,17.5,3,280,350,350,400,0,0,350,400,2,2,0,0,0
1495,2,C,35508,401,0,0,4,280,280,350,400,0,0,350,400,2,2,0,0,0
1496,1,C,35508,401,0,0,5,280,280,350,400,0,0,350,400,2,2,0,0,0
1497,7,C,35508,401,0,0,6,280,250,350,400,0,0,350,400,2,2,0,0,0
1498,4,C,35508,401,0,0,7,280,230,350,400,0,0,350,400,2,2,0,0,0
1499,7,C,35508,402,10,-10,1,230,325,0,0,250,1,250,250,3,2,0,0,0
1500,8,C,35508,402,10,10,2,230,250,0,0,250,1,250,250,3,2,0,0,0
1501,3,C,35508,402,0,0,3,230,200,0,0,250,1,250,250,3,2,0,0,0
1502,4,C,35508,402,0,0,4,230,190,0,0,250,1,250,250,3,2,0,0,0
1503,1,C,35508,402,0,0,5,230,170,0,0,250,1,250,250,3,2,0,0,0
1504,4,C,35508,403,500,-500,1,5750,8400,2500,3000,0,0,2500,3000,3,2,0,0,0
1505,2,C,35508,403,287.5,287.5,2,5750,6750,2500,3000,0,0,2500,3000,3,2,0,0,0
1506,6,C,35508,403,212.5,212.5,3,5750,6600,2500,3000,0,0,2500,3000,3,2,0,0,0
1507,1,C,35508,403,0,0,4,5750,5750,2500,3000,0,0,2500,3000,3,2,0,0,0
1508,7,C,35508,403,0,0,5,5750,5100,2500,3000,0,0,2500,3000,3,2,0,0,0
1509,5,C,35508,403,0,0,6,5750,4400,2500,3000,0,0,2500,3000,3,2,0,0,0
1510,8,C,35508,403,0,0,7,5750,4250,2500,3000,0,0,2500,3000,3,2,0,0,0
1511,3,C,35508,403,0,0,8,5750,3000,2500,3000,0,0,2500,3000,3,2,0,0,0
1512,4,C,35508,404,150,-150,1,600,1450,600,800,0,0,600,800,3,2,0,0,0
1513,3,C,35508,404,100.8333333,100.8333333,2,600,900,600,800,0,0,600,800,3,2,0,0,0
1514,7,C,35508,404,25.83333333,25.83333333,3,600,750,600,800,0,0,600,800,3,2,0,0,0
