"Data NuEer","bidder","house","date","lot","profit","payment","rank","target_price","ko_bid","est_min_dum","est_max_dum","catalog_price","catalog_du10y","est_min","est_max","grade_min","grade_max","no_grade","us","no_value","ringers","max_bid","ring_winner","highest_ringer","payer","receiver","avg_est","small_lots","ones"
667,3,"C",35404,792,0,0,2,550,210,0,0,1150,1,1150,1150,5,3,0,0,0,2,250,0,1,0,0,1150,1,1
668,3,"C",35404,794,0,0,1,1100,450,0,0,1930,1,1930,1930,2,2,0,0,0,2,450,0,0,0,0,1930,1,1
669,1,"C",35404,794,0,0,2,1100,400,0,0,1930,1,1930,1930,2,2,0,0,0,2,450,0,1,0,0,1930,1,1
758,1,"C",35404,967,0,0,1,350,350,300,400,0,0,300,400,3,2,0,0,0,2,350,0,0,0,0,350,1,1
759,5,"C",35404,967,0,0,2,350,350,300,400,0,0,300,400,3,2,0,0,0,2,350,0,0,0,0,350,1,1
765,1,"C",35404,983,0,0,1,475,800,350,450,0,0,350,450,3,2,0,0,0,2,800,0,0,0,0,400,1,1
766,5,"C",35404,983,0,0,2,475,450,350,450,0,0,350,450,3,2,0,0,0,2,800,1,1,0,0,400,1,1
809,8,"C",35508,1024,0,0,1,375,950,300,400,0,0,300,400,6,2,0,1,0,2,950,0,0,0,0,350,1,1
810,1,"C",35508,1024,0,0,2,375,200,300,400,0,0,300,400,6,2,0,1,0,2,950,1,1,0,0,350,1,1
817,1,"C",35508,1026,0,0,1,1100,1050,1000,1200,0,0,1000,1200,2,2,0,1,0,2,1050,0,0,0,0,1100,1,1
818,2,"C",35508,1026,0,0,2,1100,700,1000,1200,0,0,1000,1200,2,2,0,1,0,2,1050,0,1,0,0,1100,1,1
829,1,"C",35508,1035,0,0,1,220,220,250,350,0,0,250,350,3,2,0,0,0,2,220,0,0,0,0,300,1,1
830,4,"C",35508,1035,0,0,2,220,120,250,350,0,0,250,350,3,2,0,0,0,2,220,1,1,0,0,300,1,1
868,1,"C",35508,1058,0,0,1,290,500,300,400,0,0,300,400,3,2,0,0,0,2,500,0,0,0,0,350,1,1
869,4,"C",35508,1058,0,0,2,290,250,300,400,0,0,300,400,3,2,0,0,0,2,500,1,1,0,0,350,1,1
875,1,"C",35508,1065,0,0,1,220,475,250,350,0,0,250,350,6,6,0,0,0,2,475,0,0,0,0,300,1,1
876,2,"C",35508,1065,0,0,2,220,200,250,350,0,0,250,350,6,6,0,0,0,2,475,1,1,0,0,300,1,1
917,7,"C",35508,1097,0,0,1,125,170,0,0,250,1,250,250,2,2,0,0,0,2,170,0,0,0,0,250,1,1
918,3,"C",35508,1097,0,0,2,125,40,0,0,250,1,250,250,2,2,0,0,0,2,170,1,1,0,0,250,1,1
1008,7,"C",35508,1166,0,0,1,900,500,0,0,1100,1,1100,1100,1,1,0,0,0,2,500,0,0,0,0,1100,1,1
1009,5,"C",35508,1166,0,0,2,900,450,0,0,1100,1,1100,1100,1,1,0,0,0,2,500,0,1,0,0,1100,1,1
1010,7,"C",35508,1167,0,0,1,750,500,0,0,1100,1,1100,1100,1,1,0,0,0,2,500,0,0,0,0,1100,1,1
1011,5,"C",35508,1167,0,0,2,750,450,0,0,1100,1,1100,1100,1,1,0,0,0,2,500,0,1,0,0,1100,1,1
1012,7,"C",35508,1168,0,0,1,900,850,0,0,1700,1,1700,1700,3,3,0,0,0,2,850,0,0,0,0,1700,1,1
1013,5,"C",35508,1168,0,0,2,900,750,0,0,1700,1,1700,1700,3,3,0,0,0,2,850,0,1,0,0,1700,1,1
1014,7,"C",35508,1169,0,0,1,1200,850,0,0,1700,1,1700,1700,1,1,0,0,0,2,850,0,0,0,0,1700,1,1
1015,5,"C",35508,1169,0,0,2,1200,750,0,0,1700,1,1700,1700,1,1,0,0,0,2,850,0,1,0,0,1700,1,1
1016,7,"C",35508,1170,0,0,1,1200,850,0,0,1700,1,1700,1700,1,1,0,0,0,2,850,0,0,0,0,1700,1,1
1017,5,"C",35508,1170,0,0,2,1200,750,0,0,1700,1,1700,1700,1,1,0,0,0,2,850,0,1,0,0,1700,1,1
1032,4,"C",35508,1182,0,0,1,375,340,500,600,0,0,500,600,3,2,0,0,0,2,340,0,0,0,0,550,1,1
1033,1,"C",35508,1182,0,0,2,375,260,500,600,0,0,500,600,3,2,0,0,0,2,340,0,1,0,0,550,1,1
1034,4,"C",35508,1183,0,0,1,800,990,0,0,4700,1,4700,4700,3,2,0,0,0,2,990,0,0,0,0,4700,1,1
1035,1,"C",35508,1183,0,0,2,800,380,0,0,4700,1,4700,4700,3,2,0,0,0,2,990,1,1,0,0,4700,1,1
1069,5,"C",35508,1198,12.5,-12.5,1,525,700,500,750,0,0,500,750,6,2,0,0,0,2,700,0,0,0,1,625,1,1
1070,1,"C",35508,1198,12.5,12.5,2,525,550,500,750,0,0,500,750,6,2,0,0,0,2,700,1,1,1,0,625,1,1
1078,2,"C",35508,1201,0,0,1,375,400,400,600,0,0,400,600,3,2,0,0,0,2,400,0,0,0,0,500,1,1
1079,1,"C",35508,1201,0,0,2,375,200,400,600,0,0,400,600,3,2,0,0,0,2,400,1,1,0,0,500,1,1
1082,1,"C",35508,1204,0,0,1,350,350,200,250,0,0,200,250,6,2,0,0,0,2,350,0,0,0,0,225,1,1
1083,4,"C",35508,1204,0,0,2,350,220,200,250,0,0,200,250,6,2,0,0,0,2,350,1,1,0,0,225,1,1
1084,4,"C",35508,1205,0,0,1,270,130,300,350,0,0,300,350,2,2,0,0,0,2,130,0,0,0,0,325,1,1
1085,1,"C",35508,1205,0,0,2,270,100,300,350,0,0,300,350,2,2,0,0,0,2,130,0,1,0,0,325,1,1
1463,3,"C",35508,395,0,0,1,3000,1400,250,350,0,0,250,350,6,6,0,0,0,2,1400,0,0,0,0,300,1,1
1464,7,"C",35508,395,0,0,2,3000,320,250,350,0,0,250,350,6,6,0,0,0,2,1400,0,1,0,0,300,1,1
1520,1,"C",35508,405,0,0,1,350,350,250,300,0,0,250,300,6,6,0,0,0,2,350,0,0,0,0,275,1,1
1521,3,"C",35508,405,0,0,2,350,240,250,300,0,0,250,300,6,6,0,0,0,2,350,1,1,0,0,275,1,1
1587,1,"C",35508,439,30,-30,1,240,325,150,250,0,0,150,250,3,2,0,0,0,2,325,0,0,0,1,200,1,1
1588,4,"C",35508,439,30,30,2,240,300,150,250,0,0,150,250,3,2,0,0,0,2,325,1,1,1,0,200,1,1
1593,5,"C",35508,447,0,0,1,2600,2500,0,0,7000,1,7000,7000,2,2,0,0,0,2,2500,0,0,0,0,7000,1,1
1594,3,"C",35508,447,0,0,2,2600,1100,0,0,7000,1,7000,7000,2,2,0,0,0,2,2500,0,1,0,0,7000,1,1
1597,5,"C",35508,450,0,0,1,950,750,0,0,754.25,1,754.25,754.25,3,2,0,0,0,2,750,0,0,0,0,754.25,1,1
1598,3,"C",35508,450,0,0,2,950,420,0,0,754.25,1,754.25,754.25,3,2,0,0,0,2,750,0,1,0,0,754.25,1,1
1907,9,"C",35508,68,0,0,1,230,220,0,0,525,1,525,525,3,3,0,1,0,2,220,0,0,0,0,525,1,1
1908,3,"C",35508,68,0,0,2,230,110,0,0,525,1,525,525,3,3,0,1,0,2,220,0,1,0,0,525,1,1
1927,9,"C",35508,69,0,0,1,220,220,0,0,525,1,525,525,3,3,0,1,0,2,220,0,0,0,0,525,1,1
1928,3,"C",35508,69,0,0,2,220,110,0,0,525,1,525,525,3,3,0,1,0,2,220,1,1,0,0,525,1,1
1932,9,"C",35508,70,0,0,1,220,220,0,0,525,1,525,525,3,3,0,1,0,2,220,0,0,0,0,525,1,1
1933,3,"C",35508,70,0,0,2,220,110,0,0,525,1,525,525,3,3,0,1,0,2,220,1,1,0,0,525,1,1
1937,9,"C",35508,71,0,0,1,210,220,0,0,525,1,525,525,3,3,0,1,0,2,220,0,0,0,0,525,1,1
1938,3,"C",35508,71,0,0,2,210,110,0,0,525,1,525,525,3,3,0,1,0,2,220,1,1,0,0,525,1,1
1951,9,"C",35508,72,0,0,1,210,220,0,0,525,1,525,525,3,3,0,1,0,2,220,0,0,0,0,525,1,1
1952,3,"C",35508,72,0,0,2,210,110,0,0,525,1,525,525,3,3,0,1,0,2,220,1,1,0,0,525,1,1
1955,9,"C",35508,73,0,0,1,210,220,0,0,525,1,525,525,3,3,0,1,0,2,220,0,0,0,0,525,1,1
1956,3,"C",35508,73,0,0,2,210,110,0,0,525,1,525,525,3,3,0,1,0,2,220,1,1,0,0,525,1,1
1960,9,"C",35508,74,0,0,1,210,220,0,0,525,1,525,525,3,3,0,1,0,2,220,0,0,0,0,525,1,1
1961,3,"C",35508,74,0,0,2,210,90,0,0,525,1,525,525,3,3,0,1,0,2,220,1,1,0,0,525,1,1
1973,9,"C",35508,75,0,0,1,160,220,0,0,525,1,525,525,3,3,0,1,0,2,220,0,0,0,0,525,1,1
1974,3,"C",35508,75,0,0,2,160,70,0,0,525,1,525,525,3,3,0,1,0,2,220,1,1,0,0,525,1,1
1976,9,"C",35508,76,0,0,1,180,170,0,0,425,1,425,425,2,2,0,1,0,2,170,0,0,0,0,425,1,1
1977,3,"C",35508,76,0,0,2,180,60,0,0,425,1,425,425,2,2,0,1,0,2,170,0,1,0,0,425,1,1
1990,3,"C",35508,809,0,0,1,160,140,0,0,200,1,200,200,1,1,0,0,0,2,140,0,0,0,0,200,1,1
1991,5,"C",35508,809,0,0,2,160,120,0,0,200,1,200,200,1,1,0,0,0,2,140,0,1,0,0,200,1,1
2004,9,"C",35508,84,0,0,1,650,600,0,0,2239.15,1,2239.15,2239.15,2,2,0,1,0,2,600,0,0,0,0,2239.15,1,1
2005,3,"C",35508,84,0,0,2,650,400,0,0,2239.15,1,2239.15,2239.15,2,2,0,1,0,2,600,0,1,0,0,2239.15,1,1
2007,9,"C",35508,85,0,0,1,650,600,0,0,2239.15,1,2239.15,2239.15,2,2,0,1,0,2,600,0,0,0,0,2239.15,1,1
2008,3,"C",35508,85,0,0,2,650,400,0,0,2239.15,1,2239.15,2239.15,2,2,0,1,0,2,600,0,1,0,0,2239.15,1,1
2018,3,"C",35508,865,0,0,1,125,210,0,0,150,1,150,150,0,0,1,0,0,2,210,0,0,0,0,150,1,1
2019,5,"C",35508,865,0,0,2,125,120,0,0,150,1,150,150,0,0,1,0,0,2,210,1,1,0,0,150,1,1
2027,6,"C",35508,868,0,0,1,750,375,300,400,0,0,300,400,6,6,0,0,0,2,375,0,0,0,0,350,1,1
2028,4,"C",35508,868,0,0,2,750,240,300,400,0,0,300,400,6,6,0,0,0,2,375,0,1,0,0,350,1,1
2029,3,"C",35508,869,0,0,1,200,170,200,250,0,0,200,250,3,2,0,0,0,2,170,0,0,0,0,225,1,1
2030,4,"C",35508,869,0,0,2,200,75,200,250,0,0,200,250,3,2,0,0,0,2,170,0,1,0,0,225,1,1
2066,9,"C",35508,91,0,0,1,950,800,0,0,1675,1,1675,1675,2,2,0,1,0,2,800,0,0,0,0,1675,1,1
2067,3,"C",35508,91,0,0,2,950,610,0,0,1675,1,1675,1675,2,2,0,1,0,2,800,0,1,0,0,1675,1,1
2074,4,"C",35508,914,0,0,1,1800,1700,2000,2000,0,0,2000,2000,3,2,0,0,0,2,1700,0,0,0,0,2000,1,1
2075,1,"C",35508,914,0,0,2,1800,1000,2000,2000,0,0,2000,2000,3,2,0,0,0,2,1700,0,1,0,0,2000,1,1
2080,9,"C",35508,92,0,0,1,800,800,0,0,1675,1,1675,1675,3,2,0,1,0,2,800,0,0,0,0,1675,1,1
2081,3,"C",35508,92,0,0,2,800,510,0,0,1675,1,1675,1675,3,2,0,1,0,2,800,1,1,0,0,1675,1,1
2121,2,"C",35508,940,0,0,1,900,900,0,0,0,1,0,0,2,2,0,0,1,2,900,0,0,0,0,0,1,1
2122,1,"C",35508,940,0,0,2,900,290,0,0,0,1,0,0,2,2,0,0,1,2,900,1,1,0,0,0,1,1
2137,9,"C",35508,96,0,0,1,325,400,0,0,850,1,850,850,3,3,0,1,0,2,400,0,0,0,0,850,1,1
2138,3,"C",35508,96,0,0,2,325,180,0,0,850,1,850,850,3,3,0,1,0,2,400,1,1,0,0,850,1,1
2157,6,"C",35508,972,0,0,1,600,600,300,500,0,0,300,500,3,3,0,0,0,2,600,0,0,0,0,400,1,1
2158,4,"C",35508,972,0,0,2,600,490,300,500,0,0,300,500,3,3,0,0,0,2,600,1,1,0,0,400,1,1
2168,1,"C",35508,976,0,0,1,325,350,200,300,0,0,200,300,6,6,0,0,0,2,350,0,0,0,0,250,1,1
